Date,Alaska,California,Oregon,Washington,Total,Per_day
2020-03-21,0.0,25.0,4.0,94.0,123.0,13.0
2020-03-22,0.0,30.0,5.0,97.0,132.0,9.0
2020-03-23,0.0,39.0,5.0,109.0,153.0,21.0
2020-03-24,0.0,50.0,8.0,116.0,174.0,21.0
2020-03-25,1.0,65.0,10.0,133.0,209.0,35.0
2020-03-26,1.0,81.0,11.0,150.0,243.0,34.0
2020-03-27,1.0,94.0,12.0,157.0,264.0,21.0
2020-03-28,2.0,110.0,13.0,188.0,313.0,49.0
2020-03-29,2.0,124.0,13.0,198.0,337.0,24.0
2020-03-30,3.0,146.0,16.0,205.0,370.0,33.0
2020-03-31,3.0,173.0,18.0,225.0,419.0,49.0
2020-04-01,3.0,199.0,19.0,234.0,455.0,36.0
2020-04-02,3.0,238.0,21.0,271.0,533.0,78.0
2020-04-03,3.0,265.0,22.0,291.0,581.0,48.0
2020-04-04,5.0,289.0,22.0,315.0,631.0,50.0
2020-04-05,6.0,348.0,27.0,336.0,717.0,86.0
2020-04-06,6.0,380.0,27.0,381.0,794.0,77.0
2020-04-07,6.0,432.0,29.0,400.0,867.0,73.0
2020-04-08,7.0,495.0,33.0,426.0,961.0,94.0
2020-04-09,7.0,544.0,44.0,456.0,1051.0,90.0
2020-04-10,7.0,583.0,44.0,483.0,1117.0,66.0
2020-04-11,8.0,604.0,48.0,495.0,1155.0,38.0
2020-04-12,8.0,640.0,52.0,506.0,1206.0,51.0
2020-04-13,8.0,714.0,53.0,513.0,1288.0,82.0
2020-04-14,9.0,767.0,55.0,530.0,1361.0,73.0
2020-04-15,9.0,860.0,58.0,552.0,1479.0,118.0
2020-04-16,9.0,956.0,64.0,579.0,1608.0,129.0
2020-04-17,9.0,1037.0,70.0,603.0,1719.0,111.0